Input,Output
00000,B2-2
00001,B2-2
00002,B2-2
00003,None
00004,None
00005,None
00006,B36-2
00007,B39-2
00008,B15-2
00009,B27-2
00010,B33-1
00011,B7-1
00012,None
00013,B7-1
00014,None
00015,B8-2
00016,B30-2
00017,B4-2
00018,B37-1
00019,B31-2
00020,B1-2
00021,B15-1
00022,B31-2
00023,B19-2
00024,B15-2
00025,B9-1
00026,B33-2
00027,B10-2
00028,B39-2
00029,B10-2
00030,B1-2
00031,B15-2
00032,B29-9
00033,B39-2
00034,B10-1
00035,B10-1
00036,B10-1
00037,B10-1
00038,B10-1
00039,B29-9
00040,B10-1
00041,B36-1
00042,B3-2
00043,B5-1
00044,B15-2
00045,B39-2
00046,B7-2
00047,B33-2
00048,B7-2
00049,B29-7
00050,B29-7
00051,B29-7
00052,B29-7
00053,B29-7
00054,B33-1
00055,B33-2
00056,B29-7
00057,B29-7
00058,B41-1
00059,None
00060,B7-1
00061,B37-2
00062,B31-2
00063,B37-1
00064,B20-2
00065,B35-1
00066,B21-1
00067,B5-1
00068,B15-2
00069,B5-2
00070,B5-2
00071,B5-2
00072,B5-2
00073,B5-2
00074,B1-2
00075,B5-2
00076,B8-1
00077,None
00078,B10-1
00079,B35-2
00080,B6-1
00081,B35-1
00082,B20-2
00083,B31-2
00084,B37-1
00085,B39-2
00086,B31-1
00087,B33-1
00088,B29-11
00089,B46-7
00090,B46-7
00091,None
00092,None
00093,B21-1
00094,B1-2
00095,B31-2
00096,B1-2
00097,None
00098,B29-11
00099,B30-2
00100,B31-2
00101,B10-1
00102,B29-9
00103,B29-9
00104,B10-1
00105,B29-11
00106,B29-10
00107,B29-10
00108,B29-10
00109,B29-10
00110,B29-10
00111,B29-9
00112,B29-10
00113,B29-9
00114,B29-9
00115,B31-1
00116,B29-9
00117,B29-10
00118,B39-2
00119,B15-2
00120,B2-2
00121,B31-2
00122,B21-1
00123,B37-2
00124,B15-2
00125,B15-2
00126,B15-1
00127,B15-2
00128,B29-11
00129,B10-1
00130,B15-2
00131,B10-1
00132,B39-2
00133,B34-1
00134,B37-1
00135,B34-1
00136,B10-1
00137,B10-1
00138,B1-2
00139,B29-11
00140,B25-1
00141,B10-1
00142,B7-1
00143,B10-2
00144,B27-2
00145,B13-2
00146,B34-2
00147,B33-1
00148,B34-2
00149,B10-1
00150,B7-2
00151,B27-2
00152,B8-1
00153,B15-2
00154,B15-2
00155,B15-2
00156,B29-11
00157,B15-2
00158,B15-2
00159,B13-2
00160,B25-1
00161,B15-2
00162,B2-1
00163,B15-2
00164,B15-2
00165,B13-2
00166,B36-1
00167,B29-11
00168,B15-2
00169,B15-2
00170,B29-11
00171,B7-1
00172,B15-2
00173,B15-2
00174,B29-11
00175,B29-11
00176,B8-1
00177,B5-1
00178,B31-1
00179,B21-2
00180,B39-2
00181,B15-2
00182,B15-2
00183,B39-2
00184,B15-2
00185,B22-2
00186,B15-2
00187,B37-1
00188,B37-1
00189,B31-2
00190,B15-2
00191,B15-2
00192,B15-2
00193,B6-2
00194,B15-1
00195,B15-2
00196,B10-2
00197,B31-2
00198,B10-1
00199,B39-2
00200,B29-9
00201,B29-9
00202,B29-9
00203,B29-9
00204,B29-10
00205,B29-10
00206,B29-10
00207,B29-10
00208,B29-10
00209,B29-11
00210,B29-11
00211,B29-11
00212,B29-11
00213,B29-11
00214,B29-11
00215,B29-11
00216,B29-11
00217,B29-11
00218,B29-11
00219,B29-11
00220,B34-2
00221,B2-1
00222,B39-1
00223,B14-1
00224,B29-11
00225,B39-1
00226,B33-1
00227,B22-2
00228,B29-11
00229,B1-1
00230,B27-2
00231,B39-2
00232,B29-11
00233,B31-2
00234,B33-1
00235,B34-2
00236,B33-3
00237,B33-3
00238,B33-4
00239,B35-2
00240,B33-4
00241,B34-1
00242,B34-1
00243,B34-1
00244,B34-1
00245,B34-1
00246,B33-3
00247,B33-4
00248,B33-4
00249,B33-3
00250,B33-4
00251,B33-4
00252,B33-4
00253,B33-4
00254,B33-4
00255,B33-3
00256,B33-2
00257,B33-3
00258,B33-3
00259,B33-3
00260,B33-3
00261,B33-2
00262,B33-2
00263,B33-2
00264,B33-2
00265,B33-2
00266,B33-2
00267,B33-3
00268,B33-3
00269,B33-3
00270,B33-1
00271,B33-1
00272,B33-1
00273,B33-1
00274,B33-1
00275,B33-1
00276,B31-2
00277,B4-2
00278,B37-2
00279,B15-2
00280,B20-1
00281,B20-1
00282,B20-1
00283,B20-1
00284,B20-1
00285,B20-1
00286,B20-1
00287,B20-1
00288,B20-1
00289,B20-2
00290,B20-2
00291,B20-1
00292,B20-1
00293,B20-1
00294,B20-1
00295,B20-1
00296,B36-2
00297,None
00298,B37-2
00299,B15-2
00300,None
00301,B15-2
00302,B10-1
00303,B37-2
00304,B37-2
00305,B21-1
00306,B15-2
00307,None
00308,B22-2
00309,B22-2
00310,B22-2
00311,B22-2
00312,B22-1
00313,B22-1
00314,B22-1
00315,B22-1
00316,B22-1
00317,B22-1
00318,B29-11
00319,B22-1
00320,B22-1
00321,B22-1
00322,B22-1
00323,B22-2
00324,B22-2
00325,B22-1
00326,B25-2
00327,B19-2
00328,B22-2
00329,B23-2
00330,B39-1
00331,B15-2
00332,B22-2
00333,B22-2
00334,B22-2
00335,B22-2
00336,B22-2
00337,B22-2
00338,B22-2
00339,B22-2
00340,B22-2
00341,B22-2
00342,B22-2
00343,B22-2
00344,B22-2
00345,B22-2
00346,B22-2
00347,B22-2
00348,B22-2
00349,B22-2
00350,B22-2
00351,B22-2
00352,B22-2
00353,B22-2
00354,B22-2
00355,B22-2
00356,B22-2
00357,B22-2
00358,B22-2
00359,B22-2
00360,B22-2
00361,B22-2
00362,B22-2
00363,B22-2
00364,B22-2
00365,B22-2
00366,B22-2
00367,B22-2
00368,B22-2
00369,B22-2
00370,B22-2
00371,B22-2
00372,B22-2
00373,B22-2
00374,B22-2
00375,B22-2
00376,B22-2
00377,B22-2
00378,B22-2
00379,B22-2
00380,B22-2
00381,B22-2
00382,B22-2
00383,B22-2
00384,B22-2
00385,B22-2
00386,B22-2
00387,B22-2
00388,B22-2
00389,B22-2
00390,B22-2
00391,B22-2
00392,B22-2
00393,B22-2
00394,B22-2
00395,B22-2
00396,B22-2
00397,B22-2
00398,B22-2
00399,B22-2
00400,B22-2
00401,B22-2
00402,B22-2
00403,B22-2
00404,B22-2
00405,B22-2
00406,B22-2
00407,B22-2
00408,B22-2
00409,B22-2
00410,B22-2
00411,B22-2
00412,B22-2
00413,B22-2
00414,B22-2
00415,B22-2
00416,B22-2
00417,B22-2
00418,B22-2
00419,B22-2
00420,B22-2
00421,B22-2
00422,B22-2
00423,B35-1
00424,B22-2
00425,B22-2
00426,B22-2
00427,B22-2
00428,B22-2
00429,B22-2
00430,B22-2
00431,B22-2
00432,B15-2
00433,B22-2
00434,B22-2
00435,B22-2
00436,B22-2
00437,B22-2
00438,B22-2
00439,B22-2
00440,B22-2
00441,B15-2
00442,B22-2
00443,B22-2
00444,B22-2
00445,B22-2
00446,B22-2
00447,B22-2
00448,B22-2
00449,B22-2
00450,B17-1
00451,B15-1
00452,B15-2
00453,B15-2
00454,B15-2
00455,B35-1
00456,B22-2
00457,B22-2
00458,B22-2
00459,B22-2
00460,B22-2
00461,B22-2
00462,B22-2
00463,B22-2
00464,B22-2
00465,B22-2
00466,B22-2
00467,B39-2
00468,B22-2
00469,None
00470,B8-1
00471,B37-1
00472,B9-1
00473,B33-2
00474,B24-2
00475,B22-2
00476,B22-2
00477,B22-2
00478,B22-2
00479,B22-2
00480,B22-2
00481,B22-2
00482,B39-1
00483,B31-2
00484,B21-2
00485,None
00486,B36-1
00487,B1-1
00488,B39-2
00489,B33-2
00490,B26-1
00491,B15-2
00492,B37-1
00493,B29-3
00494,B32-2
00495,B39-3
00496,B39-3
00497,B39-4
00498,B39-4
00499,B39-4
00500,B39-2
00501,B39-4
00502,B39-2
00503,B39-4
00504,B39-2
00505,B39-2
00506,B39-2
00507,B39-4
00508,B39-2
00509,B39-2
00510,B39-4
00511,B39-2
00512,B39-4
00513,B39-3
00514,B19-2
00515,B39-2
00516,B1-2
00517,B32-1
00518,B7-1
00519,B39-1
00520,B15-2
00521,B39-1
00522,B39-1
00523,B39-1
00524,B39-1
00525,B39-2
00526,B39-1
00527,B39-1
00528,B39-2
00529,B31-1
00530,B39-2
00531,B39-2
00532,B39-2
00533,B39-2
00534,B39-2
00535,B39-1
00536,B39-2
00537,B39-1
00538,B32-1
00539,B24-2
00540,B39-1
00541,B39-1
00542,B39-1
00543,B39-1
00544,None
00545,B31-2
00546,B27-2
00547,B19-2
00548,B19-2
00549,B28-1
00550,B28-1
00551,B28-2
00552,B47-1
00553,B28-2
00554,B28-1
00555,B28-2
00556,B28-2
00557,B28-1
00558,B28-2
00559,B28-2
00560,B28-2
00561,B19-2
00562,B28-2
00563,B28-2
00564,B28-2
00565,B28-2
00566,B28-2
00567,B28-2
00568,B28-2
00569,B2-2
00570,None
00571,None
00572,B15-2
00573,B10-1
00574,B27-1
00575,B27-1
00576,B27-1
00577,B27-1
00578,B27-1
00579,B27-1
00580,B27-1
00581,B27-1
00582,B27-1
00583,B27-1
00584,B27-1
00585,B27-1
00586,B27-1
00587,B27-1
00588,B36-1
00589,B27-1
00590,B27-1
00591,B27-1
00592,B27-1
00593,B27-1
00594,B27-1
00595,B27-1
00596,B27-1
00597,B27-1
00598,B1-2
00599,B27-1
00600,B27-1
00601,B27-1
00602,B27-1
00603,B20-2
00604,None
00605,B37-2
00606,B27-1
00607,B14-1
00608,B15-2
00609,B24-2
00610,B22-2
00611,None
00612,B9-1
00613,B15-2
00614,B31-2
00615,B18-2
00616,B41-3
00617,B15-2
00618,B41-4
00619,B15-2
00620,B41-3
00621,B41-3
00622,B41-3
00623,B41-3
00624,B41-3
00625,B41-3
00626,B41-3
00627,B41-3
00628,B41-3
00629,B41-3
00630,B41-3
00631,B41-3
00632,B41-3
00633,B41-3
00634,B41-3
00635,B41-3
00636,B41-3
00637,B41-3
00638,B41-4
00639,B41-3
00640,B41-3
00641,B41-3
00642,B41-3
00643,B41-3
00644,B41-3
00645,B31-2
00646,B41-3
00647,B41-3
00648,B41-3
00649,B41-3
00650,B41-3
00651,B41-3
00652,B41-3
00653,B41-3
00654,B42-1
00655,B41-4
00656,B19-2
00657,B41-3
00658,B41-3
00659,B31-1
00660,B32-2
00661,B17-2
00662,B9-1
00663,B13-2
00664,B31-2
00665,B7-1
00666,B1-1
00667,B37-1
00668,B23-2
00669,B7-1
00670,B47-1
00671,B30-3
00672,B7-1
00673,B29+-2
00674,B14-2
00675,B39-2
00676,B35-1
00677,B35-1
00678,B35-1
00679,B35-1
00680,B35-1
00681,B35-1
00682,B35-1
00683,B37-1
00684,B35-1
00685,B33-1
00686,B36-1
00687,B37-1
00688,B12-2
00689,B39-2
00690,B37-2
00691,B30-2
00692,B34-2
00693,B39-2
00694,None
00695,None
00901,B39-2
00902,None
00903,B22-2
00904,B8-2
00905,B23-2
00906,None
00907,B2-2
00908,B32-1
00909,B1-2
00910,None
00911,None
00912,B33-1
00913,B14-2
00914,B14-2
00915,B13-2
00916,B24-2
00917,B9-1
00918,None
01051,B31-2
01052,B31-2
01053,B35-1
01054,B20-2
01055,None
01056,B36-1
01057,B31-2
01058,B36-1
01059,B32-1
01060,B25-1
01061,B39-2
01062,B15-2
01063,B1-2
01064,B36-2
01065,B31-1
01066,B1-2
01067,B7-1
01068,B4-2
01069,B31-2
01070,B38-1
01071,B15-2
01072,B15-2
01073,B37-2
01074,B7-2
01075,B39-2
01076,B23-2
01077,B15-1
01078,B15-2
01079,B36-1
01080,None
01081,B3-1
01082,B3-1
01083,B3-1
01084,B7-1
01085,B3-1
01086,B3-1
01087,B33-2
01088,B31-2
01089,B31-1
01090,B15-2
01091,B31-1
