Input,Output
00202,B11-1
00203,B11-1
00204,B11-1
00205,B11-1
00206,B11-1
00207,B11-1
00208,B11-1
00209,B11-1
00210,B11-1
00211,B11-1
00212,B11-1
00213,B11-1
00214,B15-2
00215,B15-2
00216,B11-1
00217,B11-1
00218,B11-1
00219,B11-1
00220,B11-1
00221,B11-1
00222,B11-1
00223,B11-1
00224,B11-1
00225,B11-1
00226,B33-1
00227,B29-11
00228,B29-10
00229,B11-2
00230,B11-2
00231,B11-2
00232,B11-2
00233,B11-2
00234,B11-2
00235,B11-2
00236,B11-2
00237,B1-2
00238,B29-11
00239,B29-11
00240,B15-2
00241,B14-1
00242,B14-1
00243,B14-1
00244,B29-11
00245,B33-2
00246,B18-2
00247,B32-2
00248,B25-1
00249,B13-2
00250,B33-1
00251,B14-2
00252,B14-2
00253,B14-1
00254,B14-1
00255,B35-1
00256,B30-4
00257,B16-1
00258,B16-1
00259,B1-2
00260,B16-1
00261,B15-2
00262,B29-11
00263,B15-2
00264,B39-2
00265,B15-2
00266,B15-2
00267,B15-2
00268,B15-2
00269,B15-2
00270,B15-2
00271,B15-2
00272,B15-2
00273,B15-2
00274,B15-2
00275,B15-2
00276,B15-2
00277,B15-2
00278,B15-2
00279,B15-2
00280,B15-2
00281,B15-2
00282,B15-2
00283,B15-2
00284,B15-2
00285,B15-2
00286,B15-2
00287,B15-2
00288,B15-2
00289,B15-2
00290,B15-2
00291,B15-2
00292,B15-2
00293,B15-2
00294,B15-2
00295,B15-2
00296,B15-2
00297,B15-2
00298,B15-2
00299,B15-2
00300,B15-2
00301,B15-2
00302,B15-2
00303,B15-2
00304,B15-2
00305,B15-2
00306,B24-2
00307,B33-1
00308,B23-2
00309,B32-2
00310,B18-1
00311,B31-1
00312,B15-2
00313,B15-2
00314,B17-2
00315,B17-2
00316,B36-1
00317,B1-2
00318,B31-3
00319,B20-1
00320,B20-1
00321,B31-1
00322,B20-1
00323,B15-2
00324,B15-2
00325,B31-2
00326,B19-2
00327,B19-2
00328,B19-2
00329,B20-2
00330,B34-2
00331,B11-2
00332,B15-2
00333,B36-2
00334,B22-1
00335,B22-1
00336,B22-1
00337,B22-1
00338,B22-1
00339,B22-1
00340,B48-5
00341,B48-5
00342,B48-5
00343,B48-5
00344,B22-2
00345,B22-2
00346,B22-2
00347,B22-2
00348,B22-2
00349,B22-2
00350,B22-2
00351,B22-2
00352,B5-1
00353,B21-2
00354,B21-2
00355,B21-2
00356,B21-2
00357,B21-2
00358,B32-2
00359,B33-1
00360,B36-2
00361,B24-1
00362,B24-1
00363,B24-1
00364,B24-1
00365,B24-2
00366,B24-2
00367,B24-2
00368,B24-2
00369,B24-2
00370,B24-2
00371,B31-2
00372,B24-2
00373,B24-2
00374,B24-2
00375,B24-2
00376,B24-2
00377,B24-2
00378,B24-2
00379,B24-2
00380,B24-2
00381,B15-2
00382,B24-2
00383,B24-2
00384,B24-2
00385,B24-2
00386,B24-2
00387,B37-2
00388,B24-2
00389,B24-2
00390,B15-2
00391,B15-1
00392,B10-1
00393,B15-2
00394,B13-2
00395,B37-2
00396,B24-2
00397,B22-2
00398,B13-2
00399,B24-2
00400,B24-2
00401,B24-2
00402,B39-2
00403,B24-2
00404,B24-2
00405,B24-2
00406,B24-2
00407,B24-2
00408,B37-2
00409,B15-2
00410,B31-2
00411,B15-2
00412,B24-2
00413,B15-2
00414,B31-2
00415,B37-2
00416,B25-1
00417,B37-1
00418,B23-2
00419,B24-2
00420,B24-1
00421,B24-1
00422,B24-1
00423,B24-1
00424,B24-1
00425,B24-1
00426,B24-2
00427,B15-2
00428,B23-1
00429,B23-2
00430,B23-2
00431,B23-2
00432,B1-2
00433,B21-2
00434,B13-2
00435,B26-1
00436,B26-1
00437,None
00438,None
00439,None
00440,None
00441,None
00442,B33-1
00443,B21-1
00444,B39-4
00445,B39-4
00446,B37-1
00447,B34-1
00448,B23-2
00449,B23-2
00450,B15-2
00451,B35-1
00452,B48-8
00453,B48-9
00454,B32-2
00455,B26-2
00456,B26-2
00457,B26-2
00458,B26-2
00459,B26-2
00460,B26-1
00461,B26-1
00462,B26-1
00463,B26-1
00464,B26-1
00465,B26-1
00466,B26-1
00467,B26-1
00468,B31-2
00469,B28-1
00470,B28-1
00471,B28-1
00472,B19-2
00473,B48-10
00474,B27-2
00475,B39-2
00476,B17-2
00477,B39-2
00478,B37-1
00479,B15-2
00480,B37-1
00481,B37-1
00482,B37-1
00483,B21-2
00484,B35-1
00485,B35-1
00486,B19-2
00487,B19-2
00488,B19-2
00489,B15-2
00490,B17-2
00491,B17-2
00492,B17-2
00493,B15-2
00494,B15-2
00495,B15-2
00496,B15-2
00497,B15-2
00498,B15-2
00499,B15-2
00500,B15-2
00501,B15-2
00502,B15-2
00503,B15-2
00504,B15-2
00505,B15-2
00506,B15-2
00507,B15-2
00508,B15-2
00509,B15-2
00510,B15-2
00511,B15-2
00512,B15-2
00513,B15-2
00514,B15-2
00515,B15-2
00516,B15-2
00517,B15-2
00518,B15-2
00519,B15-2
00520,B15-2
00521,B15-2
00522,B15-2
00523,B15-2
00524,B15-2
00525,B15-2
00526,B15-2
00527,B15-2
00528,B15-2
00529,B15-2
00530,B15-2
00531,B15-2
00532,B15-2
00533,B15-2
00534,B15-2
00535,B15-2
00536,B15-2
00537,B15-2
00538,B15-2
00539,B15-2
00540,B15-2
00541,B15-2
00542,B15-2
00543,B15-2
00544,B15-2
00545,B15-2
00546,B15-2
00547,B15-2
00548,B15-2
00549,B15-2
00550,B15-2
00551,B15-2
00552,B15-2
00553,B15-2
00554,B15-2
00555,B15-2
00556,B15-2
00557,B15-2
00558,B15-2
00559,B15-2
00560,B29-11
00561,B15-2
00562,B23-2
00563,B15-2
00564,B15-2
00565,B15-2
00566,B15-2
00567,B15-2
00568,B15-2
00569,B15-2
00570,B15-2
00571,B15-2
00572,B13-2
00573,B15-2
00574,B15-2
00575,B15-2
00576,B15-2
00577,B15-2
00578,B15-2
00579,B15-2
00580,B15-2
00581,B15-2
00582,B15-2
00583,B15-2
00584,B31-2
00585,B9-1
00586,B15-2
00587,B40-1
00588,B15-2
00589,B28-2
00590,B1-2
00591,B15-2
00592,B15-2
00593,B15-2
00594,B15-2
00595,B15-2
00596,B15-2
00597,B15-2
00598,B15-2
00599,B22-1
00600,B15-2
00601,B15-2
00602,B15-2
00603,B15-2
00604,B15-2
00605,B15-2
00606,B15-2
00607,B15-2
00608,B15-2
00609,B15-2
00610,B15-2
00611,B15-2
00612,B15-2
00613,B15-2
00614,B15-2
00615,B15-2
00616,B15-2
00617,B15-2
00618,B15-2
00619,B15-2
00620,B15-2
00621,B15-2
00622,B15-2
00623,B15-2
00624,B15-2
00625,B15-2
00626,B15-2
00627,B15-2
00628,B15-2
00629,B15-2
00630,B15-2
00631,B15-2
00632,B15-2
00633,B15-2
00634,B15-2
00635,B15-2
00636,B15-2
00637,B15-2
00638,B15-2
00639,B15-2
00640,B15-2
00641,B15-2
00642,B15-2
00643,B15-2
00644,B15-2
00645,B15-2
00646,B15-2
00647,B15-2
00648,B15-2
00649,B15-2
00650,B15-2
00651,B15-2
00652,B15-2
00653,B15-2
00654,B15-2
00655,B15-2
00656,B15-2
00657,B15-2
00658,B15-2
00659,B15-2
00660,B7-1
00661,B15-2
00662,B15-2
00663,B15-2
00664,B15-2
00665,B15-2
00666,B15-2
00667,B15-2
00668,B15-2
00669,B15-2
00670,B15-2
00671,B15-2
00672,B15-2
00673,B15-2
00674,B15-2
00675,B15-2
00676,B15-2
00677,B15-2
00678,B15-2
00679,B15-2
00680,B15-2
00681,B15-2
00682,B15-2
00683,B15-2
00684,B15-2
00685,B15-2
00686,B15-2
00687,B15-2
00688,B15-2
00689,B15-2
00690,B15-2
00691,B15-2
00692,B15-2
00693,B15-2
00694,B15-2
00695,B15-2
00696,B15-2
00697,B15-2
00698,B15-2
00699,B15-2
00700,B15-2
00701,B15-2
00702,B15-2
00703,B15-2
00704,B15-2
00705,B15-2
00706,B15-2
00707,B15-2
00708,B15-2
00709,B15-2
00710,B15-2
00711,B15-2
00712,B15-2
00713,B15-2
00714,B15-2
00715,B15-2
00716,B15-2
00717,B15-2
00718,B15-2
00719,B15-2
00720,B15-2
00721,B15-2
00722,B15-2
00723,B15-2
00724,B15-2
00725,B15-2
00726,B15-2
00727,B15-2
00728,B15-2
00729,B15-2
00730,B15-2
00731,B15-2
00732,B15-2
00733,B15-2
00734,B15-2
00735,B15-2
00736,B15-2
00737,B15-2
00738,B15-2
00739,B21-1
00740,B31-1
00741,B13-2
00742,B13-2
00743,B39-2
00744,B36-1
00745,B32-2
00746,B33-2
00747,B15-2
00748,B29-11
00749,B13-2
00750,B13-2
00751,B33-1
00752,B13-2
00753,B31-2
00754,B37-2
00755,B15-2
00756,B32-2
00757,B1-2
00758,B1-2
00759,B29-11
00760,B39-2
00761,B29-11
00762,B21-1
00763,B29-11
00764,B29-11
00765,B29-11
00766,B29-11
00767,B29-11
00768,B15-2
00769,B11-2
00770,B11-2
00771,B11-2
00772,B11-2
00773,B11-2
00774,B13-2
00775,B29-11
00776,B15-1
00777,B31-2
00778,B14-1
00779,B9-2
00780,B15-2
00781,B31-1
00782,B12-1
00783,B30-4
00784,B33-1
00785,B15-2
00786,B39-2
00787,B31-1
00788,B14-1
00789,B14-1
00790,B14-1
00791,B16-1
00792,B16-1
00793,B31-2
00794,B39-2
00795,B15-2
00796,B29-11
00797,B15-2
00798,B15-2
00799,B15-2
00800,B21-1
00801,B16-1
00802,B15-2
00803,B15-2
00804,B15-2
00805,B15-2
00806,B15-2
00807,B15-2
00808,B15-2
00809,B15-2
00810,B15-2
00811,B15-2
00812,B15-2
00813,B15-2
00814,B15-2
00815,B15-2
00816,B15-2
00817,B15-2
00818,B15-2
00819,B15-2
00820,B15-2
00821,B15-2
00822,B15-2
00823,B15-2
00824,B15-2
00825,B15-2
00826,B15-2
00827,B15-2
00828,B15-2
00829,B15-2
00830,B15-2
00831,B15-2
00832,B15-2
00833,B15-2
00834,B15-2
00835,B15-2
00836,B15-2
00837,B15-2
00838,B15-2
00839,B15-2
00840,B15-2
00841,B15-2
00842,B15-2
00843,B15-2
00844,B15-2
00845,B15-2
00846,B15-2
00847,B15-2
00848,B15-2
00849,B15-2
00850,B15-2
00851,B15-2
00852,B15-2
00853,B15-2
00854,B15-2
00855,B15-2
00856,B15-2
00857,B15-1
00858,B23-2
00859,B36-1
00860,B13-2
00861,B13-2
00862,B13-2
00863,B46-10
00864,B15-2
00865,B46-10
00866,B35-1
00867,B19-2
00868,B11-1
00869,B12-1
00870,B15-2
00871,B9-1
00872,B9-1
00873,B15-2
00874,B7-1
00875,B7-1
00876,B37-1
00877,B5-1
00878,B5-1
00879,B5-1
00880,B34-1
00881,B37-1
00882,B36-1
00883,B21-1
00884,B15-2
00885,B29-4
00886,B29-3
00887,B29-3
00888,B12-1
00889,B1-2
00890,B1-2
00891,B1-2
00892,B1-1
00893,B1-1
00894,B1-1
00895,B1-1
00896,B1-1
00897,B1-1
00898,B1-2
00899,B1-1
00900,B1-1
00901,B1-1
00902,B1-1
00903,B1-1
00904,B1-1
