Input,Output
00000,B2-2
00001,B34-2
00002,B37-1
00003,B32-1
00004,B2-2
00005,B2-2
00006,B2-2
00007,B2-2
00008,B2-2
00009,B2-2
00010,B2-2
00011,B2-2
00012,B2-2
00013,B2-2
00014,B2-2
00015,B2-2
00016,B2-2
00017,B2-2
00018,B2-1
00019,B2-1
00020,B2-1
00021,B2-1
00022,B29-1
00023,B29-2
00024,B29-2
00025,B4-1
00026,B4-1
00027,B4-1
00028,B4-1
00029,B4-1
00030,B15-2
00031,B46-1
00032,B46-1
00033,B46-1
00034,B46-1
00035,B15-2
00036,B39-2
00037,B6-2
00038,B6-2
00039,B6-2
00040,B34-1
00041,B29-5
00042,B29-5
00043,B29-5
00044,B29-5
00045,B29-5
00046,B6-1
00047,B6-1
00048,B6-1
00049,B6-1
00050,B6-1
00051,B6-1
00052,B6-1
00053,B6-1
00054,B6-1
00055,B6-1
00056,B34-2
00057,B6-1
00058,B37-1
00059,B32-2
00060,B19-2
00061,B19-2
00062,B2-1
00063,B6-1
00064,B6-1
00065,B6-1
00066,B6-1
00067,B25-2
00068,B6-1
00069,B6-1
00070,B37-2
00071,B6-1
00072,B6-1
00073,B6-1
00074,B6-1
00075,B6-1
00076,B6-1
00077,B35-1
00078,B7-1
00079,B29-6
00080,B6-1
00081,B6-1
00082,B6-1
00083,B6-2
00084,B15-2
00085,B6-2
00086,B6-2
00087,B6-2
00088,B6-2
00089,B6-2
00090,B6-2
00091,B6-2
00092,B6-1
00093,B6-1
00094,B6-2
00095,B6-1
00096,B6-1
00097,B6-2
00098,B6-1
00099,B6-1
00100,B6-1
00101,B29-5
00102,B29-5
00103,B29-6
00104,B8-1
00105,B15-2
00106,B5-1
00107,B19-2
00108,B5-2
00109,B5-2
00110,B5-1
00111,B5-1
00112,B5-1
00113,B37-1
00114,B31-1
00115,None
00116,B15-2
00117,B5-2
00118,B29-5
00119,B29-4
00120,B29-5
00121,B8-1
00122,B8-1
00123,B8-1
00124,B8-1
00125,B8-1
00126,B8-1
00127,B34-2
00128,B46-4
00129,B7-1
00130,B7-1
00131,B7-1
00132,B7-1
00133,B7-1
00134,B7-2
00135,B15-2
00136,B29-7
00137,B15-2
00138,B29-7
00139,B15-2
00140,B29-7
00141,B29-8
00142,B10-1
00143,B10-1
00144,B10-1
00145,B10-1
00146,B10-1
00147,B10-1
00148,B7-1
00149,B9-1
00150,B29-11
00151,B9-1
00152,B9-1
00153,B9-1
00154,B9-1
00155,B9-1
00156,B9-1
00157,B29-9
00158,B29-8
00159,B29-9
00160,B29-9
00161,B29-9
00162,B29-9
00163,B29-9
00164,B29-9
00165,B29-9
00166,B29-9
00167,B29-9
00168,B29-10
00169,B15-1
00170,B12-1
00171,B1-2
00172,B1-2
00173,B15-2
00174,B12-1
00175,B12-1
00176,B15-1
00177,B11-2
00178,B11-2
00179,B11-2
00180,B11-2
00181,B11-2
00182,B11-2
00183,B11-2
00184,B11-2
00185,B33-1
00186,None
00187,None
00188,None
00189,None
00190,None
00191,None
00192,None
00193,B11-2
00194,B11-2
00195,B11-2
00196,B11-1
00197,B11-1
00198,B11-1
00199,B11-1
00200,B11-1
00201,B11-1
