Input,Output
10000,B13-1
10001,B15-2
10002,B15-2
10003,B33-2
10004,B31-2
10005,B15-2
10006,B14-2
10007,B14-2
10008,B14-2
10009,B14-2
10010,B14-2
10011,B35-1
10012,B7-1
10013,B37-2
10014,B35-1
10015,B47-1
10016,B15-2
10017,B35-1
10018,B13-1
10019,B13-1
10020,B13-1
10021,B1-2
10022,B13-1
10023,B31-1
10024,B13-2
10025,B19-2
10026,B15-2
10027,B13-2
10028,B13-2
10029,B29-11
10030,B33-2
10031,B21-2
10032,B39-2
10033,B11-2
10034,B11-2
10035,B9-2
10036,B9-2
10037,B9-2
10038,B9-2
10039,B9-2
10040,B15-1
10041,B15-2
10042,B9-2
10043,B9-2
10044,B15-1
10045,B9-2
10046,B9-2
10047,B9-2
10048,B9-2
10049,B9-1
10050,B9-1
10051,B9-1
10052,B9-1
10053,B9-1
10054,B9-1
10055,B9-1
10056,B9-1
10057,B9-1
10058,B9-2
10059,B29-9
10060,B29-9
10061,B29-9
10062,B29-9
10063,B29-9
10064,B29-9
10065,B39-2
10066,B15-2
10067,B7-2
10068,B7-2
10069,B7-2
10070,B7-2
10071,B7-2
10072,B7-2
10073,B7-1
10074,B46-4
10075,B7-1
10076,B7-1
10077,B7-1
10078,B7-1
10079,B7-1
10080,B7-1
10081,B7-1
10082,B7-1
10083,B7-1
10084,B29-7
10085,B8-1
10086,B8-2
10087,B8-2
10088,B8-2
10089,B8-2
10090,B8-2
10091,B8-2
10092,B8-2
10093,B8-2
10094,B8-2
10095,B8-2
10096,B8-2
10097,B29-7
10098,B8-1
10099,B29-7
10100,B29-7
10101,B29-7
10102,B29-7
10103,B29-7
10104,B29-8
10105,B29-8
10106,B31-2
10107,B21-1
10108,B12-1
10109,B12-1
10110,B12-1
10111,B33-1
10112,B14-1
10113,B14-1
10114,B14-1
10115,B14-1
10116,B14-1
10117,B16-1
10118,B16-1
10119,B16-1
10120,B16-1
10121,B30-4
10122,B16-1
10123,B16-1
10124,B16-1
10125,B16-1
10126,B16-1
10127,B16-1
10128,B16-1
10129,B16-1
10130,B16-2
10131,B16-2
10132,B31-2
10133,B15-1
10134,B15-1
10135,B15-1
10136,B15-1
10137,B15-1
10138,B15-1
10139,B15-1
10140,B15-1
10141,B15-2
10142,B15-2
10143,B15-2
10144,B15-1
10145,B15-1
10146,B15-1
10147,B15-1
10148,B15-1
10149,B15-1
10150,B15-1
10151,B15-1
10152,B15-2
10153,B15-2
10154,B15-2
10155,B15-2
10156,B15-2
10157,B15-2
10158,B15-2
10159,B15-2
10160,B15-2
10161,B15-2
10162,B15-2
10163,B15-2
10164,B15-2
10165,B15-2
10166,B15-2
10167,B15-2
10168,B15-2
10169,B15-2
10170,B15-2
10171,B15-2
10172,B15-2
10173,B15-2
10174,B15-2
10175,B15-2
10176,B15-2
10177,B15-2
10178,B15-2
10179,B15-2
10180,B15-2
10181,B15-2
10182,B15-2
10183,B15-2
10184,B15-2
10185,B15-2
10186,B15-2
10187,B15-2
10188,B15-2
10189,B15-2
10190,B15-2
10191,B15-2
10192,B15-2
10193,B15-2
10194,B15-2
10195,B15-2
10196,B15-2
10197,B15-2
10198,B15-2
10199,B15-2
10200,B15-2
10201,B15-2
10202,B15-2
10203,B6-2
10204,B22-1
10205,B32-2
10206,B32-2
10207,B15-1
10208,B31-4
10209,B31-4
10210,B31-4
10211,B31-4
10212,B31-4
10213,B31-4
10214,B31-4
10215,B31-3
10216,B31-4
10217,B31-4
10218,B31-4
10219,B31-4
10220,B31-4
10221,B31-4
10222,B31-4
10223,B31-4
10224,B36-2
10225,B31-2
10226,B31-2
10227,B31-2
10228,B31-2
10229,B31-2
10230,B31-2
10231,B31-2
10232,B31-2
10233,B31-2
10234,B31-2
10235,B31-2
10236,B31-2
10237,B31-2
10238,B31-2
10239,B31-2
10240,B31-2
10241,B31-3
10242,B31-3
10243,B31-4
10244,B31-4
10245,B32-1
10246,B32-1
10247,B32-1
10248,B32-1
10249,B32-1
10250,B32-1
10251,B32-1
10252,B26-2
10253,B31-2
10254,B32-2
10255,B39-2
10256,B31-1
10257,B20-2
10258,B20-1
10259,B20-1
10260,B34-2
10261,B34-2
10262,B33-4
10263,B33-4
10264,B33-3
10265,B33-4
10266,B33-3
10267,B33-3
10268,B33-3
10269,B33-3
10270,B33-3
10271,B33-2
10272,B33-2
10273,B33-2
10274,B33-2
10275,B33-2
10276,B33-2
10277,B33-2
10278,B33-2
10279,B33-2
10280,B33-2
10281,B33-2
10282,B33-1
10283,B33-1
10284,B31-2
10285,B1-2
10286,B15-2
10287,B17-2
10288,B17-2
10289,B17-2
10290,B17-2
10291,B17-2
10292,B17-2
10293,B17-2
10294,B14-1
10295,B15-2
10296,B48-1
10297,B48-1
10298,B48-1
10299,B48-1
10300,B15-2
10301,None
10302,B36-1
10303,B32-2
10304,B1-1
10305,B39-2
10306,B39-2
10307,B1-2
10308,B29-11
10309,B15-2
10310,B1-2
10311,B39-2
10312,B29-11
10313,B31-2
10314,B14-1
10315,B14-1
10316,B29-11
10317,B29-11
10318,B29-11
10319,B29-11
10320,B31-1
10321,B15-2
10322,B11-2
10323,B11-2
10324,B11-2
10325,B11-2
10326,B11-2
10327,B11-2
10328,B11-2
10329,B11-2
10330,B11-2
10331,B11-2
10332,B11-2
10333,B11-2
10334,B11-2
10335,B11-2
10336,B11-2
10337,B11-2
10338,B11-2
10339,B11-2
10340,B11-2
10341,B11-2
10342,B11-2
10343,B11-2
10344,B11-2
10345,B11-2
10346,B11-2
10347,B11-2
10348,B11-2
10349,B11-2
10350,B11-2
10351,B11-2
10352,B11-2
10353,B11-2
10354,B11-2
10355,B11-2
10356,B11-2
10357,B11-2
10358,B11-2
10359,B11-2
10360,B11-2
10361,B11-2
10362,B11-2
10363,B11-2
10364,B11-2
10365,B11-2
10366,B11-2
10367,B29-11
10368,B29-11
10369,B29-11
10370,B29-11
10371,B29-11
10372,B29-11
10373,B29-11
10374,B29-11
10375,B29-11
10376,B29-11
10377,B29-11
10378,B29-11
10379,B29-11
10380,B29-11
10381,B29-11
10382,B29-11
10383,B29-11
10384,B29-11
10385,B29-11
10386,B29-11
10387,B29-11
10388,B29-11
10389,B29-11
10390,B29-11
10391,B29-11
10392,B29-11
10393,B29-11
10394,B29-11
10395,B29-11
10396,B29-11
10397,B29-11
10398,B29-11
10399,B29-11
10400,B11-2
10401,B29-11
10402,B29-11
10403,B29-11
10404,B29-11
10405,B29-11
10406,B29-11
10407,B29-11
10408,B29-11
10409,B29-11
10410,B29-11
10411,B29-11
10412,B29-11
10413,B1-2
10414,B29-10
10415,B9-2
10416,B9-2
10417,B13-2
10418,B29-9
10419,B29-9
10420,B29-9
10421,B29-9
10422,B29-9
10423,B29-9
10424,B29-9
10425,B29-9
10426,B29-9
10427,B29-9
