Input,Output
10428,B29-9
10429,B29-9
10430,B29-9
10431,B29-9
10432,B29-9
10433,B29-9
10434,B29-9
10435,B29-9
10436,B29-9
10437,B29-9
10438,B29-9
10439,B29-9
10440,B29-9
10441,B29-9
10442,B29-9
10443,B29-9
10444,B29-9
10445,B29-9
10446,B29-9
10447,B29-9
10448,B29-9
10449,B29-9
10450,B29-9
10451,B29-9
10452,B29-9
10453,B29-9
10454,B29-9
10455,B29-9
10456,B29-9
10457,B29-9
10458,B29-10
10459,B32-2
10460,B15-2
10461,B15-2
10462,B29-11
10463,B29-11
10464,B29-11
10465,B39-2
10466,B29-10
10467,B30-4
10468,B9-2
10469,B31-2
10470,B9-2
10471,B7-2
10472,B7-2
10473,B7-2
10474,B7-2
10475,B7-2
10476,B5-2
10477,B5-2
10478,B5-2
10479,B5-2
10480,B5-2
10481,B15-1
10482,B3-2
10483,B3-2
10484,B3-2
10485,B1-2
10486,B29-2
10487,B29-2
10488,B32-2
10489,B1-2
10490,B29-1
10491,B1-2
10492,B1-2
10493,B47-1
10494,B29-1
10495,B29-2
10496,B15-2
10497,B29-11
10498,B29-1
10499,B29-1
10500,B15-2
10501,B2-1
10502,B15-2
10503,B2-1
10504,B15-2
10505,B47-1
10506,B21-2
10507,B33-2
10508,B5-1
10509,B15-2
10510,B29-1
10511,B29-1
10512,B29-1
10513,B29-1
10514,B7-1
10515,B29-1
10516,B15-2
10517,B31-2
10518,B37-1
10519,B15-2
10520,B31-2
10521,B33-1
10522,B37-2
10523,B30-4
10524,B24-2
10525,B2-1
10526,B34-2
10527,B37-1
10528,B37-1
10529,B39-2
10530,B36-1
10531,B15-2
10532,B39-2
10533,B29-2
10534,B31-1
10535,B15-2
10536,B4-1
10537,B6-1
10538,B6-1
10539,B39-2
10540,B8-1
10541,B15-2
10542,B8-1
10543,B15-2
10544,B8-1
10545,B10-1
10546,B10-1
10547,B10-1
10548,B31-2
10549,B36-2
10550,B29-10
10551,B29-10
10552,B15-1
10553,B29-11
10554,B29-11
10555,B29-11
10556,B29-11
10557,B29-11
10558,B29-11
10559,B29-11
10560,B29-11
10561,B15-1
10562,B9-2
10563,B9-2
10564,B9-2
10565,B9-2
10566,B9-2
10567,B9-2
10568,B27-2
10569,B7-2
10570,B39-2
10571,B15-2
10572,B5-2
10573,B5-2
10574,B5-2
10575,B5-2
10576,B5-2
10577,B3-2
10578,B29-11
10579,B3-2
10580,B3-2
10581,B29-11
10582,B1-2
10583,B1-2
10584,B1-2
10585,B1-2
10586,B1-2
10587,B1-1
10588,B1-1
10589,B31-2
10590,B1-1
10591,None
10592,B1-1
10593,None
10594,B17-2
10595,B1-1
10596,B1-1
10597,B1-1
10598,B1-1
10599,B1-1
10600,B8-1
10601,B37-2
10602,B1-1
10603,B21-1
10604,B39-2
10605,B37-2
10606,B1-1
10607,B37-1
10608,B35-1
10609,B1-1
10610,B36-2
10611,B35-1
10612,None
10613,B35-1
10614,None
10615,B31-2
10616,B7-2
10617,B37-2
